tweet,stemming
['percumalaporpolisi'],percumalaporpolisi
"['wuih', 'beraninya', 'lawan', 'anak', 'biadab', 'percumalaporpolisi', 'percumalaporpolisi']",wuih berani lawan anak biadab percumalaporpolisi percumalaporpolisi
"['percumalaporpolisi', 'ok', 'skeptis', 'laporin', 'aj', 'gt', 'kalo', 'ular', 'genteng', 'kalo', 'kucing', 'kejebak', 'paralon', 'pas', 'pup', 'anting', 'masuk', 'wc', 'gak', 'nerbangin', 'layang', 'mogok', 'ban', 'bocor', 'aj', 'lporin', 'syarat', 'ketentuan', 'berlaku', 'gak', 'tercantum', 'banner']",percumalaporpolisi ok skeptis laporin aj gt kalo ular genteng kalo kucing jebak paralon pas pup anting masuk wc gak nerbangin layang mogok ban bocor aj lporin syarat tentu laku gak cantum banner
"['tvonenews', 'percumalaporpolisi']",tvonenews percumalaporpolisi
"['serius', 'nanya', 'inimah', 'pol', 'divhumas', 'polri', 'emng', 'kalo', 'masyarakat', 'lapor', 'polisi', 'kena', 'tarif', 'polisi', 'gak', 'gajikah', 'percumalaporpolisi']",serius nanya inimah pol divhumas polri emng kalo masyarakat lapor polisi kena tarif polisi gak gaji percumalaporpolisi
"['rajin', 'baca', 'pintar', 'malas', 'baca', 'polisi', 'percumalaporpolisi']",rajin baca pintar malas baca polisi percumalaporpolisi
"['m', 'nusaputra', 'hastag', 'percumalaporpolisi', 'dibales', 'polrisesuaiprosedur', 'wkwkkw', 'introspeksi', 'defensif', 'bukanmain']",m nusaputra hastag percumalaporpolisi dibales polrisesuaiprosedur wkwkkw introspeksi defensif bukanmain
"['kelakuan', 'percumalaporpolisi']",laku percumalaporpolisi
"['wkwkw', 'memukul', 'elemen', 'polisi', 'berpihak', 'sma', 'korban', 'karn', 'hati', 'nurani', 'lol', 'andai', 'polisi', 'lembaganya', 'spt', 'duluan', 'yg', 'terharu', 'lol', 'bengek', 'percumalaporpolisi']",wkwkw pukul elemen polisi pihak sma korban karn hati nurani lol andai polisi lembaga spt duluan yg haru lol bengek percumalaporpolisi
"['chalkzonk', 'percumalaporpolisi', 'acab', 'defundthepolice']",chalkzonk percumalaporpolisi acab defundthepolice
"['odydc', 'bahala', 'ampe', 'percumalaporpolisi', 'gak', 'sih', 'denger', 'kalo', 'rumah', 'org', 'hati', 'takut', 'difitnah', 'ngga', 'ampe', 'mobil', 'super', 'hati', 'banget', 'istilah', 'tuker', 'kepala', 'udah', 'sopirnya', 'teman', 'perna']",odydc bahala ampe percumalaporpolisi gak sih denger kalo rumah org hati takut fitnah ngga ampe mobil super hati banget istilah tuker kepala udah sopir teman perna
"['ambarwatirexy', 'percumalaporpolisi']",ambarwatirexy percumalaporpolisi
"['odydc', 'jvdas', 'iskariot', 'lu', 'bener', 'preeen', 'lbp', 'tuh', 'percumalaporpolisi', 'https', 't', 'co', 'tuv', 'xkpc', 's']",odydc jvdas iskariot lu bener preeen lbp tuh percumalaporpolisi https t co tuv xkpc s
"['mengajukan', 'cerai', 'cenderung', 'perempuan', 'persen', 'laki', 'laki', 'persen', 'mengajukan', 'talak', 'negeripajak', 'vaksin', 'lindungi', 'indonesia', 'percumalaporpolisi', 'corona', 'covid']",aju cerai cenderung perempuan persen laki laki persen aju talak negeripajak vaksin lindung indonesia percumalaporpolisi corona covid
"['projectm', 'org', 'percumalaporpolisi', 'nyimak']",projectm org percumalaporpolisi nyimak
['percumalaporpolisi'],percumalaporpolisi
"['ekwkwkw', 'percumalaporpolisi']",ekwkwkw percumalaporpolisi
"['percumalaporpolisi', 'evaluasi', 'masyarakat', 'kepolisian', 'indonesia', 'berbenah', 'salah', 'tubuh', 'lembaga', 'tsb', 'sibuk', 'narasi', 'tandingan', 'seakan', 'diserang', 'masyarakat']",percumalaporpolisi evaluasi masyarakat polisi indonesia benah salah tubuh lembaga tsb sibuk narasi tanding akan serang masyarakat
"['diusut', 'catatan', 'kalo', 'viral', 'kalo', 'lu', 'duit', 'kerabat', 'ber', 'pangkat', 'ah', 'tagar', 'percumalaporpolisi', 'trending']",usut catat kalo viral kalo lu duit kerabat ber pangkat ah tagar percumalaporpolisi trending
"['yg', 'berkuasa', 'orang', 'berkhianat', 'mudah', 'buatnya', 'istilah', 'anak', 'muda', 'skrng', 'suka', 'penguasa', 'deh', 'percumalaporpolisi', 'percumalaporpolisi', 'https', 't', 'co', 'hvicwlpi', 'p']",yg kuasa orang khianat mudah buat istilah anak muda skrng suka kuasa deh percumalaporpolisi percumalaporpolisi https t co hvicwlpi p
"['ambarwatirexy', 'tagar', 'percumalaporpolisi']",ambarwatirexy tagar percumalaporpolisi
['percumalaporpolisi'],percumalaporpolisi
"['pokemon', 'aja', 'percaya', 'damkar', 'dibandingkan', 'polisi', 'percumalaporpolisi']",pokemon aja percaya damkar banding polisi percumalaporpolisi
"['ambarwatirexy', 'percumalaporpolisi']",ambarwatirexy percumalaporpolisi
"['divhumas', 'polri', 'percumalaporpolisi']",divhumas polri percumalaporpolisi
"['why', 'percumalaporpolisi', 'is', 'still', 'a', 'thing', 'https', 't', 'co', 'xnzpstthgn']",why percumalaporpolisi is still a thing https t co xnzpstthgn
"['icjrid', 'percumalaporpolisi']",icjrid percumalaporpolisi
"['tirtoid', 'mari', 'heran', 'percumalaporpolisi']",tirtoid mari heran percumalaporpolisi
"['percumalaporpolisi', 'anjg', 'gw', 'pagi', 'udah', 'pngen', 'gaplok', 'orng']",percumalaporpolisi anjg gw pagi udah pngen gaplok orng
['percumalaporpolisi'],percumalaporpolisi
"['tagar', 'percumalaporpolisi', 'viral', 'kemarin', 'diambil', 'pelajaran', 'polri', 'kepuasan', 'masyarakat', 'kinerja', 'polri', 'rendah', 'komnas', 'ham', 'mencatat', 'pelanggar', 'ham', 'polri']",tagar percumalaporpolisi viral kemarin ambil ajar polri puas masyarakat kerja polri rendah komnas ham catat langgar ham polri
"['m', 'nusaputra', 'percumalaporpolisi', 'percumalaporpolisi', 'percumalaporpolisi']",m nusaputra percumalaporpolisi percumalaporpolisi percumalaporpolisi
"['geloraco', 'percumalaporpolisi']",geloraco percumalaporpolisi
"['percumapunyapolisi', 'percumalaporpolisi']",percumapunyapolisi percumalaporpolisi
"['puppympop', 'keadilan', 'ga', 'duit', 'berbicara', 'percumalaporpolisi']",puppympop adil ga duit bicara percumalaporpolisi
['percumalaporpolisi'],percumalaporpolisi
"['percumalaporpolisi', 'percumalaporpolisi']",percumalaporpolisi percumalaporpolisi
['percumalaporpolisi'],percumalaporpolisi
"['rmol', 'id', 'percumalaporpolisi', 'percumalaporpolisi', 'aparat', 'hukum', 'bkn', 'lg', 'pengayom', 'rkyt', 'tp', 'pengayom', 'rezim', 'berkuasa']",rmol id percumalaporpolisi percumalaporpolisi aparat hukum bkn lg ayom rkyt tp ayom rezim kuasa
"['the', 'beginning', 'part', 'end', 'quote', 'whatsapp', 'eternals', 'yrkkh', 'openbojogja', 'percumalaporpolisi', 'gfvip', 'zonajajan', 'zonabu', 'secretcuentaatras', 'bureauhofstad', 'fenomenindirimler', 'jiminday', 'popcorn', 'nadaquecelebrar', 'ayeshaakramexposed', 'https', 't', 'co', 'xft', 'czdphs']",the beginning part end quote whatsapp eternals yrkkh openbojogja percumalaporpolisi gfvip zonajajan zonabu secretcuentaatras bureauhofstad fenomenindirimler jiminday popcorn nadaquecelebrar ayeshaakramexposed https t co xft czdphs
"['hobi', 'berguna', 'nonton', 'anime', 'berguna', 'kasih', 'kesenangan', 'hobi', 'makan', 'ya', 'berguna', 'biar', 'gendut', 'enak', 'ya', 'contoh', 'hobi', 'berguna', 'mencak', 'mencak', 'gara', 'gara', 'tagar', 'percumalaporpolisi', 's', 'atm']",hobi guna nonton anime guna kasih senang hobi makan ya guna biar gendut enak ya contoh hobi guna mencak mencak gara gara tagar percumalaporpolisi s atm
"['percumalaporpolisi', 'kampanye', 'lapor', 'polisi', 'gratis', 'bahasa', 'melayu', 'gratis', 'baca', 'twit', 'guys']",percumalaporpolisi kampanye lapor polisi gratis bahasa melayu gratis baca twit guys
"['ambarwatirexy', 'mari', 'heran', 'percumalaporpolisi']",ambarwatirexy mari heran percumalaporpolisi
"['terima', 'kasih', 'jokowi', 'percumalaporpolisi', 'https', 't', 'co', 'v', 'wachszbv']",terima kasih jokowi percumalaporpolisi https t co v wachszbv
"['angchiimo', 'm', 'nusaputra', 'fahrisalam', 'pengamen', 'cipulir', 'nemu', 'mayat', 'lapor', 'polisi', 'dijadiin', 'tersangka', 'kena', 'pidana', 'bebas', 'sekian', 'pelaku', 'asli', 'mengaku', 'bener', 'percumalaporpolisi', 'ga', 'denial']",angchiimo m nusaputra fahrisalam amen cipulir nemu mayat lapor polisi dijadiin sangka kena pidana bebas sekian laku asli aku bener percumalaporpolisi ga denial
"['kozirama', 'disalahin', 'naro', 'hpnya', 'teledor', 'percumalaporpolisi']",kozirama disalahin naro hpnya teledor percumalaporpolisi
"['percumalaporpolisi', 'kejahatan', 'kecelakaan', 'lapor']",percumalaporpolisi jahat celaka lapor
"['janji', 'percumalaporpolisi', 'udah', 'bukti', 'lips', 'service', 'aja', 'percumalaporpolisi']",janji percumalaporpolisi udah bukti lips service aja percumalaporpolisi
['percumalaporpolisi'],percumalaporpolisi
"['percumalaporpolisi', 'tanda', 'rakyat', 'kecewa', 'saksikan', 'kabar', 'petang', 'kc', 'news', 'dr', 'muh', 'sjaiful', 's', 'h', 'm', 'hum', 'indonesia', 'justice', 'monitor', 'host', 'azis', 'rohman', 'selasa', 'oktober', 'sore', 'wib', 'selesai', 'klik', 'link', 'https', 'krm', 'https', 't', 'co', 'dxeb', 'wyhgh']",percumalaporpolisi tanda rakyat kecewa saksi kabar petang kc news dr muh sjaiful s h m hum indonesia justice monitor host azis rohman selasa oktober sore wib selesai klik link https krm https t co dxeb wyhgh
"['vivacoid', 'percumalaporpolisi']",vivacoid percumalaporpolisi
"['vivacoid', 'percumalaporpolisi']",vivacoid percumalaporpolisi
['percumalaporpolisi'],percumalaporpolisi
['percumalaporpolisi'],percumalaporpolisi
['percumalaporpolisi'],percumalaporpolisi
"['banditnya', 'mmg', 'laler', 'ijo', 'percumalaporpolisi']",bandit mmg laler ijo percumalaporpolisi
"['siputriwidi', 'bergerak', 'mempertahankan', 'nama', 'polisi', 'mempertahankan', 'keadilan', 'percumalaporpolisi']",siputriwidi gerak tahan nama polisi tahan adil percumalaporpolisi
"['adv', 'supyadi', 'percumalaporpolisi']",adv supyadi percumalaporpolisi
"['rmol', 'id', 'emang', 'bikin', 'tagar', 'percumalaporpolisi']",rmol id emang bikin tagar percumalaporpolisi
"['bongkar', 'tuntas', 'imparsial', 'ya', 'divhumas', 'polri', 'biar', 'hestek', 'percumalaporpolisi', 'gak', 'nyata', 'kasi', 'bukti', 'konkrit', 'masyarakat']",bongkar tuntas imparsial ya divhumas polri biar hestek percumalaporpolisi gak nyata kasi bukti konkrit masyarakat
"['vivacoid', 'hehehe', 'ramai', 'tagar', 'percumalaporpolisi', 'mengarah', 'ya', 'diviralkan', 'sosmed', 'dll', 'pentolan', 'kapolda', 'angkat', 'bicara']",vivacoid hehehe ramai tagar percumalaporpolisi arah ya diviralkan sosmed dll pentol kapolda angkat bicara
"['sia', 'sia', 'percumalaporpolisi']",sia sia percumalaporpolisi
"['pripun', 'niki', 'pakdhe', 'kasihan', 'mbah', 'e', 'ganjarpranowo', 'polres', 'demak', 'hukum', 'jaman', 'gimana', 'si', 'yg', 'diserang', 'rugi', 'melindungi', 'kena', 'pidana', 'jngn', 'sampe', 'tagar', 'jdi', 'rame', 'lgi', 'percumalaporpolisi', 'https', 't', 'co', 'd', 'nonekgnq', 'https', 't', 'co', 'xxi', 'hm', 'ib']",pripun nik pakdhe kasihan mbah e ganjarpranowo polres demak hukum jaman gimana si yg serang rugi lindung kena pidana jngn sampe tagar jdi rame lgi percumalaporpolisi https t co d nonekgnq https t co xxi hm ib
"['percumalaporpolisi', 'https', 't', 'co', 'tuz', 'dcff']",percumalaporpolisi https t co tuz dcff
"['m', 'nusaputra', 'fahrisalam', 'fafifu', 'was', 'wes', 'wos', 'main', 'data', 'visum', 'kek', 'dc', 'pinjol', 'percumalaporpolisi']",m nusaputra fahrisalam fafifu was wes wos main data visum kek dc pinjol percumalaporpolisi
"['aniesbaswedan', 'bang', 'aniesbaswedan', 'tolong', 'ditakdirkan', 'presiden', 'tolong', 'etos', 'kerja', 'damkar', 'dki', 'dijadikan', 'sop', 'standart', 'pelayanan', 'publik', 'polisi', 'istilah', 'percumalaporpolisi']",aniesbaswedan bang aniesbaswedan tolong takdir presiden tolong etos kerja damkar dki jadi sop standart layan publik polisi istilah percumalaporpolisi
"['morning', 'jokes', 'percumalaporpolisi', 'vs', 'polrisesuaiprosedur', 'https', 't', 'co', 'wql', 'q', 'rqdc']",morning jokes percumalaporpolisi vs polrisesuaiprosedur https t co wql q rqdc
"['rmol', 'id', 's', 'percumalaporpolisi', 'savebrigjenjunior']",rmol id s percumalaporpolisi savebrigjenjunior
"['sgrwste', 'harian', 'jogja', 'tonggosmovic', 'm', 'nusaputra', 'percumalaporpolisi', 'tumbuh', 'organik']",sgrwste hari jogja tonggosmovic m nusaputra percumalaporpolisi tumbuh organik
"['indonesian', 'police', 'has', 'a', 'great', 'and', 'benefited', 'a', 'lot', 'from', 'its', 'pr', 'division', 'but', 'this', 'time', 'the', 'storm', 'is', 'just', 'too', 'big', 'very', 'interesting', 'to', 'observe', 'the', 'war', 'percumalaporpolisi', 'vs', 'polisisesuaiprosedur', 'mohon', 'analisis', 'de', 'nya', 'kang', 'ismailfahmi']",indonesian police has a great and benefited a lot from its pr division but this time the storm is just too big very interesting to observe the war percumalaporpolisi vs polisisesuaiprosedur mohon analisis de nya kang ismailfahmi
"['nathpribady', 'percumalaporpolisi']",nathpribady percumalaporpolisi
"['lapor', 'polisi', 'juli', 'proses', 'berlanjut', 'menguras', 'energi', 'perasaan', 'laporan', 'perzinahan', 'suami', 'proses', 'berlanjut', 'suami', 'terang', 'an', 'lanjutkan', 'hub', 'perselingkuhan', 'tsb', 'rutin', 'cek', 'in', 'hotel', 'selingkuhannya', 'percumalaporpolisi']",lapor polisi juli proses lanjut uras energi asa lapor perzinahan suami proses lanjut suami terang an lanjut hub selingkuh tsb rutin cek in hotel selingkuh percumalaporpolisi
"['polrisesuaiprosedur', 'percumalaporpolisi']",polrisesuaiprosedur percumalaporpolisi
"['geloraco', 'janji', 'janji', 'melulu', 'atasan', 'nya', 'raja', 'janji', 'percumalaporpolisi']",geloraco janji janji melulu atas nya raja janji percumalaporpolisi
"['ambarwatirexy', 'hestek', 'bahayalaporpolisi', 'percumalaporpolisi']",ambarwatirexy hestek bahayalaporpolisi percumalaporpolisi
"['ambarwatirexy', 'percumalaporpolisi']",ambarwatirexy percumalaporpolisi
"['m', 'nusaputra', 'fahrisalam', 'udah', 'yunus', 'mending', 'masuk', 'perut', 'paus', 'statement', 'tread', 'membuktikan', 'hastag', 'percumalaporpolisi', 'valid']",m nusaputra fahrisalam udah yunus mending masuk perut paus statement tread bukti hastag percumalaporpolisi valid
"['rmol', 'id', 'miris', 'g', 'baca', 'berita', 'gini', 'https', 't', 'co', 'oauqvpeh', 'z', 'percumalaporpolisi']",rmol id miris g baca berita gin https t co oauqvpeh z percumalaporpolisi
"['kumparan', 'percumalaporpolisi']",kumpar percumalaporpolisi
"['ambarwatirexy', 'ku', 'yg', 'nyamperin', 'orang', 'yg', 'berpura', 'aparat', 'baca', 'beritanya', 'emang', 'bener', 'pulicinya', 'ga', 'bener', 'dahlah', 'percumalaporpolisi']",ambarwatirexy ku yg nyamperin orang yg pura aparat baca berita emang bener pulicinya ga bener dah percumalaporpolisi
"['dellaaprilia', 'percumalaporpolisi', 'gak', 'beres']",dellaaprilia percumalaporpolisi gak beres
"['zeal', 'ot', 'ambarwatirexy', 'divhumas', 'polri', 'percumalaporpolisi', 'tebang', 'pilih']",zeal ot ambarwatirexy divhumas polri percumalaporpolisi tebang pilih
"['percumalaporpolisi', 'percumalaporpolisi']",percumalaporpolisi percumalaporpolisi
"['percumalaporpolisi', 'viral', 'penanganannya', 'sembrono', 'gitu', 'bikin', 'tagar', 'sesuai', 'prosedur', 'prosedur', 'yg', 'nih']",percumalaporpolisi viral tangan sembrono gitu bikin tagar sesuai prosedur prosedur yg nih
['percumalaporpolisi'],percumalaporpolisi
"['vivacoid', 'percumalaporpolisi', 'percumaadapolisi']",vivacoid percumalaporpolisi percumaadapolisi
"['percumaadapolisi', 'percumalaporpolisi']",percumaadapolisi percumalaporpolisi
"['medcom', 'id', 'percumalaporpolisi']",medcom id percumalaporpolisi
"['oposisicerdas', 'mohon', 'maaf', 'percumalaporpolisi', 'percumalaporpolisi', 'udah', 'aja']",oposisicerdas mohon maaf percumalaporpolisi percumalaporpolisi udah aja
['percumalaporpolisi'],percumalaporpolisi
"['koperasi', 'simpan', 'pinjam', 'indosurya', 'ownernya', 'ditetapkan', 'tersangka', 'bareskrim', 'taon', 'bebas', 'jalan', 'x', 'bali', 'wkwkwk', 'kasusnya', 'ditangani', 'very', 'slow', 'mandek', 'percumalaporpolisi']",koperasi simpan pinjam indosurya ownernya tetap sangka bareskrim taon bebas jalan x bal wkwkwk kasus tangan very slow mandek percumalaporpolisi
"['nyadar', 'wkwkwkwkwkkkkkk', 'percumalaporpolisi']",nyadar wkwkwkwkwkkkkkk percumalaporpolisi
"['geloraco', 'janji', 'mulu', 'ditepati', 'kagak', 'percumalaporpolisi', 'percumalaporpolisi']",geloraco janji mulu tepat kagak percumalaporpolisi percumalaporpolisi
"['kompascom', 'salah', 'satunya', 'percumalaporpolisi']",kompascom salah satu percumalaporpolisi
"['kumparan', 'penegak', 'hukum', 'kaku', 'dlm', 'menerapkan', 'pasal', 'diluar', 'nalar', 'kemanusiaan', 'reserse', 'hrs', 'ditatar', 'ulang', 'reformasi', 'polri', 'polribareskrim', 'polhukamri', 'kejaksaanri', 'mohmahfudmd', 'percumalaporpolisi', 'jiminday', 'ponxxpapua', 'covid']",kumpar tegak hukum kaku dlm terap pasal luar nalar manusia reserse hrs tatar ulang reformasi polri polribareskrim polhukamri kejaksaanri mohmahfudmd percumalaporpolisi jiminday ponxxpapua covid
"['aline', 'y', 'tan', 'percumalaporpolisi', 'percumalaporpolisi']",aline y tan percumalaporpolisi percumalaporpolisi
"['tagar', 'percumalaporpolisi', 'ramai', 'tagar', 'muncul', 'akibat', 'penghentian', 'dugaan', 'anak', 'diperkosa', 'ayah', 'kandungnya', 'kecamatan', 'malili', 'kab', 'luwu', 'timur', 'https', 't', 'co', 'rrx', 'hm', 't', 'r', 'https', 't', 'co', 'edrf', 'fnlma']",tagar percumalaporpolisi ramai tagar muncul akibat henti duga anak perkosa ayah kandung camat malili kab luwu timur https t co rrx hm t r https t co edrf fnlma
['percumalaporpolisi'],percumalaporpolisi
"['geloraco', 'janji', 'palsu', 'percumalaporpolisi']",geloraco janji palsu percumalaporpolisi
"['emang', 'bener', 'percumalaporpolisi', 'rumah', 'gw', 'aja', 'bbrp', 'kemalingan', 'muka', 'pelaku', 'banget', 'cctv', 'rumah', 'udah', 'lapor', 'udh', 'ksih', 'bukti', 'vidio', 'ga', 'direspon', 'polisi', 'ngga', 'polisi', 'yg', 'ngecek', 'rumah']",emang bener percumalaporpolisi rumah gw aja bbrp maling muka laku banget cctv rumah udah lapor udh ksih bukti vidio ga direspon polisi ngga polisi yg ngecek rumah
"['icjrid', 'percumalaporpolisi']",icjrid percumalaporpolisi
"['tagar', 'percumalaporpolisi', 'populer', 'ya', 'banyaknya', 'kekecewaan', 'masyarakat', 'kinerja', 'kepolisian', 'masyarakat', 'puas', 'kinerja', 'kepolisian', 'tagar', 'ga', 'populer', 'dijadiin', 'bahan', 'introspeksi', 'kepolisian', 'baper', 'kaya', 'gini']",tagar percumalaporpolisi populer ya banyak kecewa masyarakat kerja polisi masyarakat puas kerja polisi tagar ga populer dijadiin bahan introspeksi polisi baper kaya gin
"['projectm', 'org', 'emang', 'percumalaporpolisi']",projectm org emang percumalaporpolisi
"['m', 'nusaputra', 'semoga', 'yg', 'terjaga', 'buktinya', 'kehidupan', 'nyata', 'evaluasi', 'sih', 'tagar', 'percumalaporpolisi', 'pengalaman', 'pribadi', 'laporan', 'yg', 'proses', 'sih', 'masyara']",m nusaputra moga yg jaga bukti hidup nyata evaluasi sih tagar percumalaporpolisi alam pribadi lapor yg proses sih masyara
"['m', 'nusaputra', 'fahrisalam', 'percumalaporpolisi']",m nusaputra fahrisalam percumalaporpolisi
"['captendelicious', 'kacau', 'si', 'coba', 'klo', 'kejadian', 'bebalik', 'nerima', 'ga', 'percumalaporpolisi', 'gw', 'gw', 'bantai', 'klo', 'istri', 'w', 'perkosa', 'orang', 'klo', 'e', 'diem', 'aja', 'w', 'suami', 'tolol', 'alam', 'dunia', 'divhumas', 'polri']",captendelicious kacau si coba klo jadi bebalik nerima ga percumalaporpolisi gw gw bantai klo istri w perkosa orang klo e diem aja w suami tolol alam dunia divhumas polri
"['ekokuntadhi', 'apkh', 'yg', 'proklamirkan', 'sbgi', 'pendekar', 'pembela', 'hak', 'anak', 'berniat', 'utk', 'melaporkannya', 'sperti', 'kpd', 'syekh', 'puji', 'ramai', 'berlomba', 'melapor', 'terpengaruh', 'tagar', 'viral', 'percumalaporpolisi', 'jd', 'bomat']",ekokuntadhi apkh yg proklamirkan sbgi pendekar bela hak anak niat utk lapor sperti kpd syekh puji ramai lomba lapor pengaruh tagar viral percumalaporpolisi jd bomat
"['beckzjr', 'percumalaporpolisi', 'emang', 'sakit', 'ye', 'negara', 'konoha', 'mending', 'ketauan', 'klo', 'ilang', 'orang', 'pinter', 'dah']",beckzjr percumalaporpolisi emang sakit ye negara konoha mending tau klo ilang orang pinter dah
"['tagar', 'polisisesuaiprosedur', 'klen', 'sesuai', 'ngk', 'trus', 'tepatnya', 'tagar', 'polisisesuaiprosedur', 'percumalaporpolisi']",tagar polisisesuaiprosedur klen sesuai ngk trus tepat tagar polisisesuaiprosedur percumalaporpolisi
"['m', 'nusaputra', 'percumalaporpolisi', 'pilpres', 'https', 't', 'co', 'bwf', 'nnskqs']",m nusaputra percumalaporpolisi pilpres https t co bwf nnskqs
"['and', 'as', 'always', 'tagar', 'yg', 'sengaja', 'typo', 'in', 'sistem', 'pilisi', 'another', 'example', 'of', 'percumalaporpolisi', 'beneran', 'kayak', 'anak', 'banget', 'kayaknya', 'adek', 'gua', 'dewasa', 'polisi', 'negara', 'situ', 'deh', 'https', 't', 'co', 'fk', 'zcinnwc']",and as always tagar yg sengaja typo in sistem pilis another example of percumalaporpolisi beneran kayak anak banget kayak adek gua dewasa polisi negara situ deh https t co fk zcinnwc
"['gua', 'polisi', 'gak', 'habits', 'buktinya', 'reaktif', 'banget', 'gila', 'tagar', 'percumalaporpolisi', 'langsung', 'dilawan', 'polisisesuaiprosedu', 'r', 'nambah', 'in', 'wkwkwk', 'habits', 'kalo', 'proaktif']",gua polisi gak habits bukti reaktif banget gila tagar percumalaporpolisi langsung lawan polisisesuaiprosedu r nambah in wkwkwk habits kalo proaktif
"['maksudnya', 'kemenkes', 'menaikkan', 'tagar', 'percumalaporpolisi', 'gimana']",maksud kemenkes naik tagar percumalaporpolisi gimana
"['percumalaporpolisi', 'banpol', 'dimana', 'cctv', 'dimana', 'juta', 'juta', 'kepala', 'selesai', 'cepat', 'minggu', 'pengurusan', 'penyidik', 'beda', 'harga', 'https', 't', 'co', 'znt', 'g', 'amd']",percumalaporpolisi banpol mana cctv mana juta juta kepala selesai cepat minggu urus sidik beda harga https t co znt g amd
"['percumalaporpolisi', 'komnas', 'aduan', 'ham', 'polri', 'https', 't', 'co', 'mx', 'ekhy']",percumalaporpolisi komnas adu ham polri https t co mx ekhy
['percumalaporpolisi'],percumalaporpolisi
"['tvonenews', 'percumalaporpolisi']",tvonenews percumalaporpolisi
"['kanseulir', 'percumalaporpolisi', 'bilang', 'humanis', 'aah', 'percumalaporpolisi', 'https', 't', 'co', 'yx', 'xglwwh']",kanseulir percumalaporpolisi bilang humanis aah percumalaporpolisi https t co yx xglwwh
"['jokowi', 'percumalaporpolisi']",jokowi percumalaporpolisi
"['divhumas', 'polri', 'percumalaporpolisi']",divhumas polri percumalaporpolisi
"['for', 'country', 'folks', 'with', 'country', 'justice', 'deputi', 'sheriff', 'john', 'smith', 's', 't', 'beliau', 'pengamanan', 'firm', 'percumalaporpolisi', 'kota', 'valentine', 'new', 'hanover', 'reddeadredemption', 'rdr', 'ps', 'share']",for country folks with country justice deputi sheriff john smith s t beliau aman firm percumalaporpolisi kota valentine new hanover reddeadredemption rdr ps share
"['humanis', 'bgt', 'polisi', 'valentine', 'amankan', 'perusuh', 'ga', 'percumalaporpolisi', 'reddeadredemption', 'rdr', 'https', 't', 'co', 'pkozogaxa']",humanis bgt polisi valentine aman rusuh ga percumalaporpolisi reddeadredemption rdr https t co pkozogaxa
"['yaallah', 'sesak', 'bgt', 'bacanya', 'percumalaporpolisi']",yaallah sesak bgt baca percumalaporpolisi
['percumalaporpolisi'],percumalaporpolisi
"['laporan', 'buzzerp', 'aja', 'ditanggapin', 'oposisi', 'rakyat', 'percumalaporpolisi']",lapor buzzerp aja ditanggapin oposisi rakyat percumalaporpolisi
"['life', 'is', 'easier', 'when', 'u', 'rich', 'in', 'the', 'eyes', 'of', 'the', 'law', 'polrisesuaiprosedur', 'percumalaporpolisi']",life is easier when u rich in the eyes of the law polrisesuaiprosedur percumalaporpolisi
"['gara', 'viral', 'percumalaporpolisi', 'yg', 'pemerkosaan', 'gue', 'jd', 'kepo', 'gimana', 'si', 'prosedur', 'lapor', 'polisi', 'nonton', 'series']",gara viral percumalaporpolisi yg perkosa gue jd kepo gimana si prosedur lapor polisi nonton series
"['vivacoid', 'bikin', 'gadooh', 'dh', 'capek', 'percumalaporpolisi']",vivacoid bikin gadooh dh capek percumalaporpolisi
"['m', 'nusaputra', 'fahrisalam', 'bangsat', 'banget', 'dah', 'orang', 'lu', 'belah', 'duren', 'main', 'buka', 'otak', 'lu', 'tuh', 'dibuka', 'dicari', 'bukti', 'kalo', 'otak', 'lu', 'kopong', 'bener', 'elu', 'n', 'komplotan', 'lu', 'ditelen', 'batu', 'keramat', 'percumalaporpolisi']",m nusaputra fahrisalam bangsat banget dah orang lu belah duren main buka otak lu tuh buka cari bukti kalo otak lu kopong bener elu n komplot lu ditelen batu keramat percumalaporpolisi
"['percumalaporpolisi', 'orang', 'bela', 'tahan']",percumalaporpolisi orang bela tahan
"['uang', 'abang', 'sayang', 'ngak', 'uang', 'abang', 'disayang', 'contoh', 'tilang', 'hahahahaha', 'akun', 'percumalaporpolisi', 'curhat', 'keluhan', 'setuju', 'krn', 'ngalami']",uang abang sayang ngak uang abang sayang contoh tilang hahahahaha akun percumalaporpolisi curhat keluh tuju krn ngalami
"['geloraco', 'percumalaporpolisi', 'mendinglaporkesetan']",geloraco percumalaporpolisi mendinglaporkesetan
"['polisi', 'polisi', 'sesuai', 'slogannya', 'mengayomi', 'masyarakat', 'setuju', 'tuh', 'yg', 'akun', 'percumalaporpolisi', 'mewakili', 'banget', 'masyarakat', 'kecewa']",polisi polisi sesuai slogan ayom masyarakat tuju tuh yg akun percumalaporpolisi wakil banget masyarakat kecewa
['percumalaporpolisi'],percumalaporpolisi
"['percumalaporpolisi', 'seandainya', 'orang', 'terlapor', 'engga', 'geter', 'berhadapan', 'hukum', 'lawan', 'bandit', 'penjahat', 'kemanusiaan', 'ditangkap', 'pendirian', 'berdiri', 'disisi', 'korban', 'tuman', 'didiemin', 'lawan']",percumalaporpolisi anda orang lapor engga geter hadap hukum lawan bandit jahat manusia tangkap diri diri sisi korban tuman didiemin lawan
['percumalaporpolisi'],percumalaporpolisi
